Dex Number	Name	Variant	Ev. Kind	Ev. Value	Category	Description
192	Sunflora				Sun Pokémon	"Sunfloras live in flower patches. They
convert solar energy into nutrition
and are highly active in the warm
daytime but suddenly stop moving
as soon as the sun sets, closing their
petals to cover their face."
193	Yanma		Level	Medium	Clear Wing Pokémon	"It lives near water sources.
Its eyes can see 360 degrees without
even moving. Yanma is a great flyer
capable of making sudden stops
and turning midair to quickly chase
down targeted prey."
194	Wooper		Level	Medium	Water Fish Pokémon	"Inhabits cold water sources and
only comes out during the evening
when the land has cooled, to find
something to eat. Under this ideal
environment it has rarely been seen
at its evolved stage."
195	Quagsire				Water Fish Pokémon	"You’ll find its home at the bottom
of the river. It hunts by leaving its
mouth wide open in water and
waiting for its prey to get in.
Because it doesn’t move a lot, it
does not get very hungry."
196	Espeon		Special	Happiness 4 + Sunlight	Sun Pokémon	"Espeon is extremely loyal to the
trainer it considers worthy. It is said
to have developed precognitive
powers to protect its trainer from
harm. The orb on its forehead glows
whenever it uses psychic energy."
197	Umbreon		Special	Happiness 4 + Moonlight	Moonlight Pokémon	"Umbreon evolved from exposure to
the moon’s energy pulses. It lurks in
darkness and waits for its foes to
move. The rings on its body glow
when it leaps to attack. Its fur is
drenched with poison."
198	Murkrow		Stone	Dusk Stone	Darkness Pokémon	"Murkrows are feared and loathed
as the alleged bearers of ill fortune.
This Pokémon will steal anything
that sparkles. They are infamous for
luring people and get them lost in
the mountains."
199	Slowking		With Item	With King's Rock	Royal Pokémon	"It is extremely rare. The Shellder on
its head injects a poison that made
it super intelligent. It takes a lot of
interest in learning about Pokémon
lore and legends. But if Shellder is
knocked out it will forget everything."
200	Misdreavus		Stone	Dusk Stone	Screech Pokémon	"Misdreavus frightens people with a
creepy, sobbing cry. It uses the red
spheres on its neck to absorb fear
as nutrition.
It takes a wicked pleasure in startling
and scaring people."
201	Unown				Symbol Pokémon	"There are depictions of it in ancient
ruins. When Unowns are gathered
together, it is said that a strange
power capable of anything emerges.
They are all shaped like letters, each
one of them with a unique power."
202	Wobbuffet				Patient Pokémon	"Wobbuffet looks somewhat deflated
until it senses an aggressor,
then it inflates. It will do nothing
besides endure and counter attacks.
It always keeps its black tail hidden,
the reasons are still a mystery."
203	Girafarig				Long Neck Pokémon	"Its tail is a head on its own, it bites
if anything comes close and never
rests. Some say that the sum of its
two heads grant it psychic powers.
Even if that’s true, the tail isn’t very
bright, but it is quite vicious."
204	Pineco		Level	Medium	Bagworm Pokémon	"Pineco looks just like a regular pine
cone. It adds layers of tree bark as
a shield from harm. It waits for bugs
to eat while hanging from branches.
If anyone shakes its tree, it falls
down and explodes. Be very careful."
205	Forretress				Bagworm Pokémon	"It can be found completely rooted
to huge tree trunks. It protects
itself and its tree by scattering
spiked pieces from its shell and
turning its home into a fortress that
won’t go down without a fight."
206	Dunsparce				Land Snake Pokémon	"If seen, Dunsparce is quick to
escape by boring into the ground
with its drill tail. It can float slightly
with its wings. It is almost blind
but finds its way in the huge
underground mazes where it lives."
207	Gligar		Item	Razor Fang	Fly Scorpion Pokémon	"It hangs from cliffs waiting for its
prey. It flies straight at the target’s
face, grapples the victim with its
pincers and clawed hind legs, lastly,
it injects poison with its tail. Gligar
can glide without making any noise."
208	Steelix				Iron Snake Pokémon	"Some say that when an Onix lives
underground for 100 years it’s body
becomes hard as steel. Steelix lives
deep underground, tempered by
high pressure and heat. It can see
in the darkness."
208	Steelix	Mega			Iron Snake Pokémon	"With the power of the Mega Stone
its body goes through so much
pressure that part of it becomes
diamond crystals. Its defense is
almost unbreakable but its temper
is short and it’s easily angered."
209	Snubbull		Level	Medium	Fairy Pokémon	"It may look frightening but it is a
loving and caring creature, active
and playful. Snubbulls are easily
scared. When threatened by bigger
foes they run away or make scary
faces, that makes them sad though."
210	Granbull				Fairy Pokémon	"Granbull is usually a timid creature
that is easily spooked. Its fangs are
extremely powerful and scary so no
one dares to mess with it or its loved
ones. It will use its giant fangs to
attack if it needs to."
211	Qwilfish				Balloon Pokémon	"It swallows water to inflate its body
to appear bigger than its foes.
Qwilfish must swallow 2 gallons of
water to be able to shoot its stings.
The poison produced by Qwilfish is
known to cause fainting."
212	Scizor				Pincer Pokémon	"Its pincers appear to be two more
heads and its wings are not for
flying, but to regulate its body
temperature. Scizor's body can
shrug off most attacks and its
pincers can crush almost any object."
212	Scizor	Mega			Pincer Pokémon	"The power of the Mega Stone puts
its body trough tremendous stress,
if it is inexperienced at wielding it
and the battle is too long its pincers
will feel heavy and even melt. They
must be fast to rip their foes apart."
213	Shuckle				Mold Pokémon	"Shuckle is a very peaceful and
patient gooey worm. The fluids
secreted by its toes can make holes
in rocks. It hides inside those hallow
stones and wears them as a shell.
It is known for storing berries inside."
214	Heracross				Single Horn Pokémon	"A docile creature that loves honey.
They batter down trees with
their powerful horn and chase off
anyone who gets close to their
prized honey. Not many Pokémon
dare to mess with it in the wild."
214	Heracross	Mega			Single Horn Pokémon	"With the power of the Mega Stone its
muscles and exoskeleton grow in size
and strength but after going back
to normal its exoskeleton reduces
size but its muscles do not and that
causes it to feel sore."
215	Sneasel		Item	Razor Claw	Sharp Claw Pokémon	"It drives weaker Pokémon from their
homes and eats their eggs. They
are vicious and cunning. They wait
for prey hidden in the darkness and
enjoy slashing their foes until they
get tired or the foe stops moving."
216	Teddiursa		Level	Slow	Little Bear Pokémon	"If they find honey, their crescent
moon mark glows. They hoard food
for winter and concoct their own
honey by mixing fruits and pollen
collected by Beedrills. They live in
forests with their mothers."
217	Ursaring				Hibernator Pokémon	"They are incredibly strong, great
climbers and posses an amazing
sense of smell. They snap trees and
feed on their fruit as they eat quite
a lot. A forest full of scratched trees
marks the territory of Ursarings."
218	Slugma		Level	Slow	Lava Pokémon	"They are extremely common in
volcanic areas where they group
together. They are made of molten
magma instead of blood and flesh.
Slugmas replenish parts of their
body by absorbing molted rocks."
219	Magcargo				Lava Pokémon	"Their shell is molten body that
cooled off and hardened, it may
appear solid, but it may burst into
flames with a single touch.
Water vaporizes on contact and
rain turns into a cloud of steam."
220	Swinub		Level	Medium	Pig Pokémon	"They rub their snout on the icy
ground to find food and hot springs.
Their favorite food is a mushroom
that grows under frozen grass. They
recognize everything by smell as
their eyes can’t see very well."
221	Piloswine		Level	Slow	Swine Pokémon	"Their long hair obscure their sight,
but they’re sensitive to sound and
smells. Piloswine's rugged hooves
prevent it from slipping on icy
terrains. Amazingly, their tusks are
made of solid ice."
222	Corsola				Coral Pokémon	"People and Pokémon build their
communities on top of reefs of
these creatures which shine with
seven colors in sunlight. Their corals
have healing qualities and their
presence wards against disasters."
223	Remoraid		Level	Medium	Jet Pokémon	"Remoraid has a remarkable aim with
its water gun. This ability is used to
hunt down flying enemies above
the sea. They can be seen clinging
into Mantines to travel faster."
224	Octillery				Jet Pokémon	"Octillery sprays ink, traps its foes
with its tentacles and then hits
them with its rock-hard head. If the
enemy is too strong, they escape.
They can be found inside rocky
holes deep in the sea floor."
225	Delibird				Delivery Pokémon	"Delibird is always carrying food for
its chicks and people in need. They
are related to the image of Santa
Claus since they always carry
presents for their good and naughty
kids in their bag-looking tail."
226	Mantine				Kite Pokémon	"Mantine swims under water and
over the waves, gliding for 300 ft
in the air. They are intelligent and
docile, traveling elegantly in groups.
Remoraids can be seen hanging
from their fins from time to time."
227	Skarmory				Armor Bird Pokémon	"Their wings are hollow and light.
They nest inside bramble bushes,
growing harder from scratches
made by thorns. Their wings were
used as swords and knives in old
times. Beware of their sharp beak."
228	Houndour		Level	Medium	Dark Pokémon	"They hunt in coordinated packs to
corner their prey. They howl at dawn
to announce that this is their territory
and bark to communicate tactics.
Their teamwork is very efficient and
they rarely welcome strangers."
229	Houndoom				Dark Pokémon	"It is said the pain from its flames never
goes away. Long ago, their howl
was thought to be the call of the
grim reaper. Pokémon and people
who hear it, will always shiver in fear.
They are pack leaders, not followers"
229	Houndoom	Mega			Dark Pokémon	"With the power of the Mega Stone
its whole body radiates tremendous
heat, so much that its claws are
searing hot and turn red as a result,
for this reason it can be painful for it
to walk or run."
230	Kingdra				Dragon Pokémon	"Kingdra sleeps on the seafloor
where it is otherwise devoid of
life. When a storm arrives, it is said
to awaken and wander about in
search of prey. They are known for
creating twisters in the sea."
231	Phanpy		Level	Medium	Long Nose Pokémon	"They are affectionate and playful,
but their snout is so strong that
they may hurt others while playing.
They dig pits at the edge of rivers
and mark them so everyone knows
that place is taken."
232	Donphan				Armor Pokémon	"Strong enough to knock down a
house. They like to attack by rolling
as a ball at high speed, however
once they start rolling, they have a
hard time stopping. Some may keep
their loving Phanpy nature."
233	Porygon 2		Trade	Trade holding an Item	Virtual Pokémon	"This man-made Pokémon is an
upgraded version of Porygon. Used
for space exploration and planetary
development, boasting the power
of science. Its AI software allows it to
learn on its own."
234	Stantler				Bighorn Pokémon	"Their antlers create a distortion in
space that causes confusion. They
were hunted for their magnificent
antlers that were traded at high
prices. This drove Stantlers close to
extinction."
235	Smeargle				Painter Pokémon	"A special ink oozes from its tail to
mark its territory. They are skilled
artists, known for painting action
scenes from great battles. If they
study their painting for a long time,
they learn those moves."
236	Tyrogue				Scuffle Pokémon	"Tyrogue is an energetic, competitive
and fearless Pokémon that’s always
looking to get stronger, fighting
any enemies even if it looses. They
attack anyone, any day, anytime,
everyday, without warning."
237	Hitmontop		Stat	Dexterity Max	Handstand Pokémon	"They launch high speed kicks while
spinning so fast that they get drilled
into the ground. They move quicker
by spinning than they do walking.
They are very smart and like to
perform dance-like kicks."
238	Smoochum		Level	Medium	Kiss Pokémon	"They examine their surroundings
with their lips. They love to smooch,
but Pokémon dislike their kisses.
Smoochums are always running
excitedly, but they are clumsy and
end up stumbling and crying."
239	Elekid		Level	Medium	Electric Pokémon	"They can be found following thunder
storms. Elekids rotate their arms
constantly to charge electricity.
Beware, there is an electric current
between their horns that may zap
you if you touch them."
240	Magby		Level	Medium	Live Coal Pokémon	"They inhale and exhale embers
from their mouth and nostrils. Their
body temperature is so hot, they
may ignite anything they touch and
the floor they walk. Magby can be
found in volcanoes."
241	Miltank				Milk Cow Pokémon	"Their male counterpart is Tauros. A
Miltank's milk is full of nutrients that
may heal the sick and the injured,
and they can produce up to 5
gallons a day. Healing serious injuries
may require a lot of milk."
242	Blissey				Happiness Pokémon	"Whoever takes a bite on a Blissey's
egg becomes loving and caring to
everyone. They are compassionate,
healing anyone who’s injured. Their
presence makes everyone smile. An
intelligent and emphatic Pokémon."
243	Raikou				No Data	"Johto Legends tell about a Pokémon
born from lightning, with barks like
crashing thunder, soaring the lands,
sending resounding shock-waves as
it walks."
244	Entei				No Data	"Johto Legends tell about a Pokémon
so powerful, its bark makes volcanoes
erupt, traveling the lands cloaked in
a cloud of volcanic smoke."
245	Suicune				No Data	"Johto Legends tell about a Pokémon
that carries the north winds, sailing
above the clouds as the aurora,
purifying water fountains, pools and
rivers."
246	Larvitar		Level	Slow	Rock Skin Pokémon	"Born deep underground, they don’t
emerge until they’ve eaten a whole
mountain of soil. Only the strongest
and more ferocious ever come out
to roam about.
They hate being disturbed."
247	Pupitar		Level	Slow	Hard Shell Pokémon	"Even in their shell, they are fast,
aggressive and extremely destructive.
They never stay still. This pupa
propels itself using a jet of pressurized
gas. It is bad tempered and very
aggressive."
248	Tyranitar				Armor Pokémon	"Its body is hardly damaged by any
attack, so it’s always eager to fight.
They are extremely strong, their
rage can change landscapes.
Tyranitars are insolents, rebels and
they care about no one."
248	Tyranitar	Mega			Armor Pokémon	"The power of the Mega Stone is so
overwhelming it splits its back open.
It becomes overwhelmed by its
ferocious instincts and it’s unclear if
it can even hear its Trainer through
the pain and rage."
249	Lugia				No Data	"Known as the Guardian of the Sea.
It used to live in the Brass Tower,
where Pokémon awoke. Lugia's
Myth is linked to the idea that
those whose death was pure will be
reborn in the sea."
250	Ho-oh				No Data	"Ho-oh inhabited the Bell Tower,
where Pokémon were said to rest.
Ho-oh’s Myth talks about a creature
that brought eternal rest for those
whose time was right, and also gave
back life if death was premature."
251	Celebi				No Data	"Guardian of the Forest. Celebi is said
to be able to travel through time,
amending mistakes from people
who hurt the land, and crafting
a bright future for those who live
nearby."
252	Treecko		Level	Medium	Wood Gecko Pokémon	"They climb trees with their spiked
feet. They remain cool under
stress, calmed under pressure and
collected when endangered. They
are found protecting the trees
ferociously."
253	Grovyle		Level	Medium	Wood Gecko Pokémon	"Their leaves provide camouflage in
the jungles. They appear to fly from
tree to tree, jumping huge lengths
with amazing speed. It’s almost
impossible to catch them once they
start running away.."
254	Sceptile				Forest Pokémon	"They raise trees with love and care
and protect the jungles with their
lives. Their tails can restore a plant’s
beauty. Sceptiles power is truly
unmatched in their habitats. They
are very proud, though."
254	Sceptile	Mega			Forest Pokémon	"With the power of the Mega Stone,
it allows itself to grow more feral in
order to gain draconian powers.
Its movements are swifter than ever
and when it attacks it seems like
the jungle has come to life."
255	Torchic		Level	Medium	Chick Pokémon	"They walk clumsily, but follow their
trainers wherever they go. Torchics
have a flame sac in their belly -
burning all the time. If you hug them,
they feel warm, but if you squeeze
them, they may spit fire."
256	Combusken		Level	Medium	Young Fowl Pokémon	"Once Torchic toughened up its
legs and thighs, they like to run and
love to kick. They have an offensive
instinct to keep attacking no matter
what. They sqwak loudly every
morning when they start to train."
257	Blaziken			Medium	Blaze Pokémon	"They can jump incredible heights.
As they grow older, their feathers
combust as new feathers grow back.
They are courageous fighters and
expert martial artists. Their wrists light
in flames when it’s about to attack."
257	Blaziken	Mega			Blaze Pokémon	"The power of the Mega Stone
makes its inner fire burn so strong
that it sets its limbs ablaze. This
allows it to move faster than ever
but it also takes a toll on its feathers
as they burn to black cinders."
258	Mudkip		Level	Medium	Mud Fish Pokémon	"The fin on its head is a radar to
sense movement underwater. They
bury themselves under the mud
at the water’s edge and at the
bottom of rivers. They never back
away even if their foe is bigger."
259	Marshtomp		Level	Medium	Mud Fish Pokémon	"A sticky film allows them to live out
of water. They are seen playing in
the mud at beaches to rehydrate
their dry bodies. They are slow
runners and swimmers but they can
be fast sliding through the mud."
260	Swampert				Mud Fish Pokémon	"They have an incredible sight that
allows them to see in muddy water.
They nest in beaches, and shield
their young with their strong arms.
When a storm is coming, Swamperts
build a fort with big rocks."
260	Swampert	Mega			Mud Fish Pokémon	"The power of the Mega Stone
increases its muscle strength, it
would appear to be slower but its
skin is so slippy it allows it to quickly
slide over puddles and mud. It also
becomes a bit bolder and moody."
261	Poochyena		Level	Medium	Bite Pokémon	"Poochyena will bite anything that
moves. They will chase people and
other Pokémon for dozens of miles
without loosing track. This Pokémon
is persistent and tenacious. In the
wild, they form small hunting packs."
262	Mightyena				Bite Pokémon	"They attack savagely, travel in packs
and hunt in groups. They will only
obey trainers that show superior
skills, which they recognize as the
alpha leader. They are extremely
obedient once they find a master."
263	Zigzagoon		Level	Medium	Tiny Raccoon Pokémon	"They are extremely curious and
want to know all about everything.
Due to their innate curiosity, they
usually find hidden objects.
Sometimes they play dead to avoid
being attacked."
264	Linoone				Rushing Pokémon	"Linoones are always running at full
speed, but they can only do so in
straight lines. They find it very difficult
to deal with a curved road. They
excel at hunting but tend to eat a lot
to recover from their tiring runs."
265	Wurmple		Level	Fast	Worm Pokémon	"It uses the spikes on its rear to peel
the trees and feed on their sap.
Their feet have suction pads to
climb easily. Wurmples are plentiful
and live in forests, but they are
often attacked by bird Pokémon."
266	Silcoon		Level	Fast	Cocoon Pokémon	"They tether themselves to tree
branches while they wait to evolve.
Sometimes they peek from a small
hole in the cocoon. Silcoons feed
only on raindrops. If Wrumple lived
among flowers, it evolves to Silcoon."
267	Beautifly				Butterfly Pokémon	"They can’t resist the pollen of flowers,
if you leave one in the window, a
Beautifly is sure to come. Despite
their appearance, they are aggressive,
they drain living creatures of their
fluids just as they do with flowers."
268	Cascoon		Level	Fast	Cocoon Pokémon	"They hide between huge leaves
and gaps between branches, if they
were to move, their evolution would
be weaker. Due to this, Cascoon will
remain motionless. If Wrumple lived in a dark place, it evolves to Cascoon."
269	Dustox				Poison Moth Pokémon	"They travel in big groups during
the night, attracted to bright lights
and big cities. Their flight releases a
poisonous shining dust that causes
mayhem in towns. For this reason
people dislike them."
270	Lotad		Level	Medium	Water Weed Pokémon	"They live in ponds and lakes, floating
atop the water. The big leaf on their
head is known to act as a ferry for
smaller Pokémon. The leaf is delicate
and needs constant watering or
else Lotad will grow sick."
271	Lombre		Stone	Water Stone	Jolly Pokémon	"This nocturnal Pokémon has a
mischievous and impish personality.
While playing pranks on people,
Lombres are commonly mistaken for
human children. It enjoys to startle
unaware swimmers."
272	Ludicolo				Carefree Pokémon	"Ludicolo starts dancing at the
sound of music. Pokémon and
people will dance as well. They are
said to appear when children sing.
They love festive places and parties."
273	Seedot		Level	Medium	Acorn Pokémon	"They attach to tree branches to
suck moisture from them. While
immobile, the young are identical to
real acorns. They enjoy scaring other
Pokémon, especially Pidgeys. If they
fall they are at risk of being eaten."
274	Nuzleaf		Stone	Leaf Stone	Wily Pokémon	"They live inside holes on big trees.
Their leaves are played like flutes
to strike fear and discomfort in lost
people’s hearts. They like to go out
and startle people. Their noses are
really sensitive and frail."
275	Shiftry				Wicked Pokémon	"Feared as protectors of the forest.
They are said to live atop towering
trees dating back thousands of
years, creating terrible wind storms.
It is said they can read people’s
minds to prey on their fears."
276	Tailow		Level	Medium	Tiny Swallow Pokémon	"They are brave and noble, facing
bigger foes whoever they might be.
However, being just a child, it usually
feels lonely and cries at night. They
can be seen migrating south in the
winter."
277	Swellow				Swallow Pokémon	"They are vain Pokémon, acting with
grace and elegance. Swellows are
seen circling the skies looking for
prey. They can be incredibly fast.
If two Swellows meet, they will clean
each other’s wings as a sign of peace."
278	Wingull		Level	Medium	Seagull Pokémon	"They carry prey and precious items
in their beaks, hiding them in strange
locations. They nest in sheer cliffs at
the sea’s edge. They often harass
fishing boats to steal an easy meal
for themselves."
279	Pelipper				Water Bird Pokémon	"Pelipper has been seen carrying
eggs and other Pokémon inside its
massive bill, protecting them from
predators and storms, transporting
the young through the great seas."
280	Ralts		Level	Medium	Feeling Pokémon	"They sense the emotions of people
and Pokémon, usually sharing the
mood of anyone nearby. They
show if they feel joy and cheer, but
hide if they sense hostility. They
dislike fighting and negativity."
281	Kirlia		Level	Medium	Emotion Pokémon	"When they use their powers, their
surroundings are distorted with
mirages and illusory sceneries from
the future and the past.
Kirlias like to dance and dislike to be
bossed around."
282	Gardevoir				Embrace Pokémon	"If they sense danger, Gardevoir
unleash a wave of psychic energy.
They can distort this dimension,
defy the laws of matter and physics.
They risk their lives to protect their
fellows."
282	Gardevoir	Mega			Embrace Pokémon	"The power of the Mega Stone
makes its senses skyrocket.
It is easily upset as it can feel the
emotions from everyone in a wide
radius. Its psychic powers are said
to distort reality."
283	Surskit		Level	Fast	Pond Skater Pokémon	"Surskit secretes oil from its feet to
skate on water. It may be found on
ponds, lakes and puddles in towns.
The tip of its head produces a
delicious sugary syrup often used in
desserts and sweets."
284	Masquerain				Eyeball Pokémon	"Their antennas look like terrifying
eyes. Masquerains can fly in any
direction like a helicopter, but their
wings are soft and fragile, so they
can’t fly when it’s raining. They cling
to trees at night to sleep."
285	Shroomish		Level	Medium	Mushroom Pokémon	"They live in damp soil in forests,
surrounded by moss. They suddenly
release toxic spores that make
plants dry up. These spores cause
serious pain if inhaled. They grow
taller with moisture and heat."
286	Breloom				Mushroom Pokémon	"Their flexible arms and quick footwork
can put good fighters to
shame. The seeds on their tail and
the cap on their head release poison
spores. They love humid and hot
climates."
287	Slakoth		Level	Slow	Slacker Pokémon	"They laze around 20 hours a day
barely eating. Slakoths remain
motionless no matter what.
It’s rare to see this Pokémon
doing something, most of them
never even bother to evolve."
288	Vigoroth		Level	Fast	Wild Monkey Pokémon	"They are always agitated, anxious,
excited or upset, rampaging over
anything. They can’t be still and
they can’t sleep. They get angry if
they get bored and violent if there
is no activity for them."
289	Slaking				Lazy Pokémon	"They spend all day sleeping and
eating grass that grows within their
reach. Sometimes they live beneath
trees, waiting for fruits to fall. They
dislike intruders on their territory but
rarely do anything about them."
290	Nincada		Level	Medium	Trainee Pokémon	"They live underground for decades,
absorbing nutrients from roots and
waiting for evolution. Nincadas
are nearly blind and cannot stand
bright lights. They only come out to
make a cocoon to evolve."
291	Ninjask				Ninja Pokémon	"Due to their speed and stealthiness,
this Pokémon was believed to be
invisible. They refuse to obey people
and cry continuously if forced.
People burn their cocoons as they
are said to be cursed."
292	Shedinja				Shed Pokémon	"On extremely rare occasions; when
Nincada evolves, the empty cocoon
comes to life. They don’t move, they
only float unnaturally around.
It is said that it will steal the soul of
anyone looking directly at them."
293	Whismur		Level	Medium	Whisper Pokémon	"Their timid voice is barely audible,
however, if it senses danger, they
start crying loud enough to deafen
anyone nearby. Their own noise
scares them even more, so they cry
harder until their ear covers shut."
294	Loudred		Level	Medium	Big Voice Pokémon	"Their ears work as loudspeakers
capable of breaking glass or even
blowing apart a wooden house.
When it finishes shouting, even they
are deafened for a while. They have
noisy competitions in their packs."
295	Exploud				Loud Noise Pokémon	"It is said that some tremors are
caused by the roars of this Pokémon.
They communicate with soft noises,
raising their voice only in battle.
They can emit many different kinds
of sounds."
296	Makuhita		Level	Medium	Guts Pokémon	"A tenacious Pokémon that will get
back up no matter how many times
he gets knocked down. They have
a tireless spirit, and never give up
hope. Makuhitas put all their hearts
into everything they do."
297	Hariyama				Arm Thrust Pokémon	"They may appear fat, but they
are pure muscle. Hariyamas have
the habit of challenging big looking
creatures to tests of strength,
sometimes mistaking cars and
machines for real Pokémon."
298	Azurill		Stat	Happiness 4	Polka Dot Pokémon	"They use their tail as a lasso. When
they throw their ball, Azurills get
dragged along with it. They are
commonly seen bouncing and
playing with other Pokémon in the
beach. They love fruit paps."
299	Nosepass		Special	A trip to New Mauville	Nosepass Pokémon	"Their magnetic noses always point
to the north. They were thought
to be immobile, but it was recently
revealed that they actually move
3/8 of an inch every year. They get a
little crazy when magnets are close."
300	Skitty		Stone	Moon Stone	Kitten Pokémon	"They are fascinated by moving
objects, even chasing their own tail
without hesitation. They are cute
by nature, and popular pets, but it’s
hard to earn their trust in the wild.
They are quite affectionate."
301	Delcatty				Prim Pokémon	"They like to live without restrictions,
spending their time eating and
sleeping whenever they feel like it.
Popular among females. Delcatties
love clean places, good food and to
groom themselves."
302	Sableye				Darkness Pokémon	"Feared for stealing the souls of
men with their sinister eyes glowing
in the dark. They lurk deep inside
caves, eating rocks, gemstones and
crystals. Luckily, Sableyes are rarely
seen. They love jewels and treasure."
302	Sableye	Mega			Darkness Pokémon	"The power of the Mega Stone
made the jewel on its chest grow, it
now uses it as a shield to repel any
attack, but its movement is limited
due to how heavy it is. Its greed for
the jewel can make it aggressive."
303	Mawile				Deceiver Pokémon	"They appear to be cute and docile,
luring their prey and lowering their
guards, then, Mawile chomps the
prey with huge steel jaws. They are
very rare, though. Only a few have
been seen in Hoenn's Victory Road."
303	Mawile	Mega			Deceiver Pokémon	"The power of the Mega Stone
makes its back jaws develop a mind
of their own, they are vicious and
won’t release anything they bite until
it’s crushed into pieces. They growl
and howl in a haunting way."
304	Aron		Level	Medium	Iron Armor Pokémon	"They can be seen feeding on iron
ore in the mountains or causing
trouble by eating rails, bridges and
vehicles. When they evolve, Arons
shed their steel armors and develop
a stronger one."
305	Lairon		Level	Slow	Iron Armor Pokémon	"Their armors gets stronger by eating
iron ores and drinking mineral spring
water, usually nesting close to ponds.
Lairons often attack human miners.
They are territorial creatures,
incredibly stubborn and resilient."
306	Aggron				Iron Armor Pokémon	"Aggron claims ownership of entire
mountains, mercilessly beating up
anything that crosses their path.
Aggrons are violent and patrol their
territory at all times, but also plant
trees, stop fires and protect nature."
306	Aggron	Mega			Iron Armor Pokémon	"The power of the Mega Stone
makes their already-small caring
nature disappear. They become
relentless and more machine-like,
trampling their way around as
nothing can penetrate their armor."
307	Meditite		Level	Medium	Meditate Pokémon	"Deep in the mountains they train
their mind to increase their spiritual
power, however they lack focus
and get distracted easily. As part of
their training, Meditites barely eat."
308	Medicham				Meditate Pokémon	"They are thought to posses a sixth
sense. Some of them can hide
their presence by lowering their
ki. Medichams fight with expert
yoga moves, foretelling their foe’s
attacks and sensing their thoughts."
308	Medicham	Mega			Meditate Pokémon	"The power of the Mega Stone is
tempered thanks to its meditation
skills. This makes it increase all of
its capabilities but not as much as
other mega-evolutions, all in favor
of keeping control of its senses."
309	Electrike		Level	Medium	Lightning Pokémon	"Their fur stores electricity, leaving
a trail of sparks as they run. By
stimulating their legs with voltage,
Electrike's speed and power is
greatly increased. They are not very
common, though."
310	Manectric				Discharge Pokémon	"Their manes are constantly releasing
dangerous sparks that often end
up in forest fires. When they get in
battle, thunderclouds show up with
them. They are extremely rare to
see in the wild."
310	Manectric	Mega			Discharge Pokémon	"The power of the Mega Stone gives
it an insurmountable amount of
electricity that gives it an explosive
velocity, but it is too much for it to
bear. Its mane grows uncomfortably
large, making it moody."
311	Plusle				Cheering Pokémon	"They are often seen cheerleading
their friends. When someone they
like does a great job, they shower
the field with sparks, but when they
lose, Plusle cries loudly. This Pokémon
drains power from telephone poles."
312	Minun				Cheering Pokémon	"They will cheer their friends with
their lives and will keep on cheering
to their last breath. If a partner is in
trouble, this Pokémon will create a
curtain of sparks on its friend’s side
to boost its spirit."
313	Volbeat				Firelfy Pokémon	"The male of its species.
Their tail shines bright during the
night, drawing geometric shapes
in the sky. Volbeats live in swarms
around clean ponds. They are
attracted to Illumise's sweet aroma."
314	Illumise				Firelfy Pokémon	"They attract swarms of Volbeat with
their sweet fragrance and organize
the swarm into drawing geometric
shapes made of light. Illumises gain
rank in their group if they make an
amazing performance."
315	Roselia		Stone	Shiny Stone	Thorn Pokémon	"They live among rose bushes,
shooting sharp poisonous thorns
to anyone who tries to steal one
of their flowers. Their aroma brings
serenity. They need clean water to
grow beautiful."
316	Gulpin		Level	Medium	Stomach Pokémon	"Gulpin's body is a huge stomach
capable of swallowing anything of
their size. Their fluids can corrode
metal. This Pokémon releases
hideous and vile gases while it digests
its food."
317	Swalot				Poison Bag Pokémon	"Swalots spurt toxic fluids from their
pores, and once the prey is weak,
it gets swallowed whole since they
have no teeth. They may eat
anything up to the size of a car’s
tire. Do not get too close to them."
318	Carvanha		Level	Medium	Savage Pokémon	"Anything near a Carvanha school
will be swarmed, attacked and tore
to bits. However, they are very timid
when they are on their own. They
live in rivers in the jungle and dislike
salt water."
319	Sharpedo				Brutal Pokémon	"Known as the “Bully of the Sea”,
widely feared for its cruelty, malice
and gangster attitude. They hurt
Pokémon for fun and sink boats for
sport. Sharpedos are among the
fastest swimmers."
319	Sharpedo	Mega			Brutal Pokémon	"As soon as it feels the power of the
Mega Stone surge through its body,
its mind goes blank with fury and
violence. Its sharp spikes and teeth
regrow sharper if it loses them. The
yellow marks on its body are scars"
320	Wailmer		Level	Slow	Ball Whale Pokémon	"Wailmer has a playful nature. They
can store water inside their body to
inflate like a ball and bounce, then
startle people by snorting the water
from their nostrils. This Pokémon
needs lots of food everyday."
321	Wailord				Float Whale Pokémon	"The largest Pokemon known to date.
Wailords weight is really light so they
can dive almost 10,000 feet with
one breath. They live in open ocean
herding fish to swallow in one gulp.
They are used to being free."
322	Numel		Level	Medium	Numb Pokémon	"An incredibly dim-witted Pokémon.
They don’t notice being hit. If they
get hungry they faint. Numel's body
is a cauldron of boiling magma. In
rainy days, the magma cools and its
speed is lowered."
323	Camerupt				Eruption Pokémon	"Sometimes the humps on their back
make an eruption when they get
really angry, otherwise they’d only
erupt every 10 years. Camerupts
live inside the craters of volcanoes.
They are indifferent to humans."
323	Camerupt	Mega			Eruption Pokémon	"The power of the Mega Stone melts
its two humps into a single one.
The single hump is heavier making
it slower, but its newly renewed
attitude makes the hump erupt in
heavy bursts of molten lava."
